cans	latn	scalar.value	kind	has.vowel	has.long.vowel	vowel	has.consonant	consonant	has.w	in.plains.cree	in.woods.cree	in.swampy.cree	qwerty.mnemonic	vim.digraph	code.point	unicode.name
ᒱ	mwî	5297	syllable	TRUE	TRUE	î	TRUE	m	TRUE	TRUE	TRUE	TRUE	mwii	MI	U+14B1	CANADIAN SYLLABICS WEST-CREE MWII
ᒳ	mwo	5299	syllable	TRUE	FALSE	o	TRUE	m	TRUE	TRUE	TRUE	TRUE	mwo	Mo	U+14B3	CANADIAN SYLLABICS WEST-CREE MWO
ᒵ	mwô	5301	syllable	TRUE	TRUE	ô	TRUE	m	TRUE	TRUE	TRUE	TRUE	mwoo	MO	U+14B5	CANADIAN SYLLABICS WEST-CREE MWOO
ᒷ	mwa	5303	syllable	TRUE	FALSE	a	TRUE	m	TRUE	TRUE	TRUE	TRUE	mwa	Ma	U+14B7	CANADIAN SYLLABICS WEST-CREE MWA
ᒹ	mwâ	5305	syllable	TRUE	TRUE	â	TRUE	m	TRUE	TRUE	TRUE	TRUE	mwaa	MA	U+14B9	CANADIAN SYLLABICS WEST-CREE MWAA
ᒼ	m	5308	consonant	FALSE			TRUE	m		TRUE	TRUE	TRUE	m	m.	U+14BC	CANADIAN SYLLABICS WEST-CREE M
ᓀ	nê	5312	syllable	TRUE	TRUE	ê	TRUE	n	FALSE	TRUE	TRUE	TRUE	ne	ne	U+14C0	CANADIAN SYLLABICS NE
ᓂ	ni	5314	syllable	TRUE	FALSE	i	TRUE	n	FALSE	TRUE	TRUE	TRUE	ni	ni	U+14C2	CANADIAN SYLLABICS NI
ᓃ	nî	5315	syllable	TRUE	TRUE	î	TRUE	n	FALSE	TRUE	TRUE	TRUE	nii	nI	U+14C3	CANADIAN SYLLABICS NII
ᓄ	no	5316	syllable	TRUE	FALSE	o	TRUE	n	FALSE	TRUE	TRUE	TRUE	no	no	U+14C4	CANADIAN SYLLABICS NO
ᓅ	nô	5317	syllable	TRUE	TRUE	ô	TRUE	n	FALSE	TRUE	TRUE	TRUE	noo	nO	U+14C5	CANADIAN SYLLABICS NOO
ᓇ	na	5319	syllable	TRUE	FALSE	a	TRUE	n	FALSE	TRUE	TRUE	TRUE	na	na	U+14C7	CANADIAN SYLLABICS NA
ᓈ	nâ	5320	syllable	TRUE	TRUE	â	TRUE	n	FALSE	TRUE	TRUE	TRUE	naa	nA	U+14C8	CANADIAN SYLLABICS NAA
ᓊ	nwê	5322	syllable	TRUE	TRUE	ê	TRUE	n	TRUE	TRUE	TRUE	TRUE	nwe	Ne	U+14CA	CANADIAN SYLLABICS WEST-CREE NWE
ᓌ	nwa	5324	syllable	TRUE	FALSE	a	TRUE	n	TRUE	TRUE	TRUE	TRUE	nwa	Na	U+14CC	CANADIAN SYLLABICS WEST-CREE NWA
ᓎ	nwâ	5326	syllable	TRUE	TRUE	â	TRUE	n	TRUE	TRUE	TRUE	TRUE	nwaa	NA	U+14CE	CANADIAN SYLLABICS WEST-CREE NWAA
ᓬ	l	5356	consonant	FALSE			TRUE	l		TRUE	TRUE	TRUE	l	l.	U+14EC	CANADIAN SYLLABICS MEDIAL L
ᓭ	sê	5357	syllable	TRUE	TRUE	ê	TRUE	s	FALSE	TRUE	TRUE	TRUE	se	se	U+14ED	CANADIAN SYLLABICS SE
ᓯ	si	5359	syllable	TRUE	FALSE	i	TRUE	s	FALSE	TRUE	TRUE	TRUE	si	si	U+14EF	CANADIAN SYLLABICS SI
ᓰ	sî	5360	syllable	TRUE	TRUE	î	TRUE	s	FALSE	TRUE	TRUE	TRUE	sii	sI	U+14F0	CANADIAN SYLLABICS SII
ᓱ	so	5361	syllable	TRUE	FALSE	o	TRUE	s	FALSE	TRUE	TRUE	TRUE	so	so	U+14F1	CANADIAN SYLLABICS SO
ᓲ	sô	5362	syllable	TRUE	TRUE	ô	TRUE	s	FALSE	TRUE	TRUE	TRUE	soo	sO	U+14F2	CANADIAN SYLLABICS SOO
ᓴ	sa	5364	syllable	TRUE	FALSE	a	TRUE	s	FALSE	TRUE	TRUE	TRUE	sa	sa	U+14F4	CANADIAN SYLLABICS SA
ᓵ	sâ	5365	syllable	TRUE	TRUE	â	TRUE	s	FALSE	TRUE	TRUE	TRUE	saa	sA	U+14F5	CANADIAN SYLLABICS SAA
ᓷ	swê	5367	syllable	TRUE	TRUE	ê	TRUE	s	TRUE	TRUE	TRUE	TRUE	swe	Se	U+14F7	CANADIAN SYLLABICS WEST-CREE SWE
ᓹ	swi	5369	syllable	TRUE	FALSE	i	TRUE	s	TRUE	TRUE	TRUE	TRUE	swi	Si	U+14F9	CANADIAN SYLLABICS WEST-CREE SWI
ᓻ	swî	5371	syllable	TRUE	TRUE	î	TRUE	s	TRUE	TRUE	TRUE	TRUE	swii	SI	U+14FB	CANADIAN SYLLABICS WEST-CREE SWII
ᓽ	swo	5373	syllable	TRUE	FALSE	o	TRUE	s	TRUE	TRUE	TRUE	TRUE	swo	So	U+14FD	CANADIAN SYLLABICS WEST-CREE SWO
ᓿ	swô	5375	syllable	TRUE	TRUE	ô	TRUE	s	TRUE	TRUE	TRUE	TRUE	swoo	SO	U+14FF	CANADIAN SYLLABICS WEST-CREE SWOO
ᔁ	swa	5377	syllable	TRUE	FALSE	a	TRUE	s	TRUE	TRUE	TRUE	TRUE	swa	Sa	U+1501	CANADIAN SYLLABICS WEST-CREE SWA
ᔃ	swâ	5379	syllable	TRUE	TRUE	â	TRUE	s	TRUE	TRUE	TRUE	TRUE	swaa	SA	U+1503	CANADIAN SYLLABICS WEST-CREE SWAA
ᔦ	yê	5414	syllable	TRUE	TRUE	ê	TRUE	y	FALSE	TRUE	TRUE	TRUE	ye	ye	U+1526	CANADIAN SYLLABICS YE
ᔨ	yi	5416	syllable	TRUE	FALSE	i	TRUE	y	FALSE	TRUE	TRUE	TRUE	yi	yi	U+1528	CANADIAN SYLLABICS YI
ᔩ	yî	5417	syllable	TRUE	TRUE	î	TRUE	y	FALSE	TRUE	TRUE	TRUE	yii	yI	U+1529	CANADIAN SYLLABICS YII
ᔪ	yo	5418	syllable	TRUE	FALSE	o	TRUE	y	FALSE	TRUE	TRUE	TRUE	yo	yo	U+152A	CANADIAN SYLLABICS YO
ᔫ	yô	5419	syllable	TRUE	TRUE	ô	TRUE	y	FALSE	TRUE	TRUE	TRUE	yoo	yO	U+152B	CANADIAN SYLLABICS YOO
ᔭ	ya	5421	syllable	TRUE	FALSE	a	TRUE	y	FALSE	TRUE	TRUE	TRUE	ya	ya	U+152D	CANADIAN SYLLABICS YA
ᔮ	yâ	5422	syllable	TRUE	TRUE	â	TRUE	y	FALSE	TRUE	TRUE	TRUE	yaa	yA	U+152E	CANADIAN SYLLABICS YAA
ᔰ	ywê	5424	syllable	TRUE	TRUE	ê	TRUE	y	TRUE	TRUE	TRUE	TRUE	ywe	Ye	U+1530	CANADIAN SYLLABICS WEST-CREE YWE
ᔲ	ywi	5426	syllable	TRUE	FALSE	i	TRUE	y	TRUE	TRUE	TRUE	TRUE	ywi	Yi	U+1532	CANADIAN SYLLABICS WEST-CREE YWI
ᔴ	ywî	5428	syllable	TRUE	TRUE	î	TRUE	y	TRUE	TRUE	TRUE	TRUE	ywii	YI	U+1534	CANADIAN SYLLABICS WEST-CREE YWII
ᔶ	ywo	5430	syllable	TRUE	FALSE	o	TRUE	y	TRUE	TRUE	TRUE	TRUE	ywo	Yo	U+1536	CANADIAN SYLLABICS WEST-CREE YWO
ᔸ	ywô	5432	syllable	TRUE	TRUE	ô	TRUE	y	TRUE	TRUE	TRUE	TRUE	ywoo	YO	U+1538	CANADIAN SYLLABICS WEST-CREE YWOO
ᔺ	ywa	5434	syllable	TRUE	FALSE	a	TRUE	y	TRUE	TRUE	TRUE	TRUE	ywa	Ya	U+153A	CANADIAN SYLLABICS WEST-CREE YWA
ᔼ	ywâ	5436	syllable	TRUE	TRUE	â	TRUE	y	TRUE	TRUE	TRUE	TRUE	ywaa	YA	U+153C	CANADIAN SYLLABICS WEST-CREE YWAA
ᕒ	r	5458	consonant	FALSE			TRUE	r		TRUE	TRUE	TRUE	r	r.	U+1552	CANADIAN SYLLABICS MEDIAL R
ᕽ	hk	5501	consonant	FALSE			TRUE			TRUE	TRUE	TRUE	hk	hk	U+157D	CANADIAN SYLLABICS HK
ᖧ	thê	5543	syllable	TRUE	TRUE	ê	TRUE	th	FALSE	FALSE	TRUE	FALSE	the		U+15A7	CANADIAN SYLLABICS TH-CREE THE
ᖨ	thi	5544	syllable	TRUE	FALSE	i	TRUE	th	FALSE	FALSE	TRUE	FALSE	thi		U+15A8	CANADIAN SYLLABICS TH-CREE THI
ᖩ	thî	5545	syllable	TRUE	TRUE	î	TRUE	th	FALSE	FALSE	TRUE	FALSE	thii		U+15A9	CANADIAN SYLLABICS TH-CREE THII
ᖪ	tho	5546	syllable	TRUE	FALSE	o	TRUE	th	FALSE	FALSE	TRUE	FALSE	tho		U+15AA	CANADIAN SYLLABICS TH-CREE THO
ᖫ	thô	5547	syllable	TRUE	TRUE	ô	TRUE	th	FALSE	FALSE	TRUE	FALSE	thoo		U+15AB	CANADIAN SYLLABICS TH-CREE THOO
ᖬ	tha	5548	syllable	TRUE	FALSE	a	TRUE	th	FALSE	FALSE	TRUE	FALSE	tha		U+15AC	CANADIAN SYLLABICS TH-CREE THA
ᖭ	thâ	5549	syllable	TRUE	TRUE	â	TRUE	th	FALSE	FALSE	TRUE	FALSE	thaa		U+15AD	CANADIAN SYLLABICS TH-CREE THAA
ᖮ	th	5550	consonant	FALSE			TRUE	th		FALSE	TRUE	FALSE	th		U+15AE	CANADIAN SYLLABICS TH-CREE TH
ᙷ	thwê	5751	syllable	TRUE	TRUE	ê	TRUE	th	TRUE	FALSE	TRUE	FALSE	thwe		U+1677	CANADIAN SYLLABICS WOODS-CREE THWEE
ᙸ	thwi	5752	syllable	TRUE	FALSE	i	TRUE	th	TRUE	FALSE	TRUE	FALSE	thwi		U+1678	CANADIAN SYLLABICS WOODS-CREE THWI
ᙹ	thwî	5753	syllable	TRUE	TRUE	î	TRUE	th	TRUE	FALSE	TRUE	FALSE	thwii		U+1679	CANADIAN SYLLABICS WOODS-CREE THWII
ᙺ	thwo	5754	syllable	TRUE	FALSE	o	TRUE	th	TRUE	FALSE	TRUE	FALSE	thwo		U+167A	CANADIAN SYLLABICS WOODS-CREE THWO
ᙻ	thwô	5755	syllable	TRUE	TRUE	ô	TRUE	th	TRUE	FALSE	TRUE	FALSE	thwoo		U+167B	CANADIAN SYLLABICS WOODS-CREE THWOO
ᙼ	thwa	5756	syllable	TRUE	FALSE	a	TRUE	th	TRUE	FALSE	TRUE	FALSE	thwa		U+167C	CANADIAN SYLLABICS WOODS-CREE THWA
ᙽ	thwâ	5757	syllable	TRUE	TRUE	â	TRUE	th	TRUE	FALSE	TRUE	FALSE	thwaa		U+167D	CANADIAN SYLLABICS WOODS-CREE THWAA
ᣇ	nwi	6343	syllable	TRUE	FALSE	i	TRUE	n	TRUE	TRUE	TRUE	TRUE	nwi	Ni	U+18C7	CANADIAN SYLLABICS OJIBWAY NWI
ᣉ	nwî	6345	syllable	TRUE	TRUE	î	TRUE	n	TRUE	TRUE	TRUE	TRUE	nwii	NI	U+18C9	CANADIAN SYLLABICS OJIBWAY NWII
ᣋ	nwo	6347	syllable	TRUE	FALSE	o	TRUE	n	TRUE	TRUE	TRUE	TRUE	nwo	No	U+18CB	CANADIAN SYLLABICS OJIBWAY NWO
ᣍ	nwô	6349	syllable	TRUE	TRUE	ô	TRUE	n	TRUE	TRUE	TRUE	TRUE	nwoo	NO	U+18CD	CANADIAN SYLLABICS OJIBWAY NWOO
